#threads,exec_time,speedup
1S,0.422174,1
1,0.423215,.997540
2,0.224840,1.877664
3,0.182833,2.309068
4,0.157878,2.674052
5,0.172713,2.444367
6,0.152928,2.760606
7,0.155886,2.708222
8,0.165112,2.556894
